Time from Start to Finish (seconds),Q1,Q6,Q7,Q10,Q11,Q15,Q22,Q23
4030,22-24,,,,,< 1 years,Never,< 1 years
500,22-24,50-249 employees,0,"3,000-3,999",$0 (USD),< 1 years,2-5 times,< 1 years
536,30-34,,,,,3-5 years,Never,3-4 years
494,35-39,"> 10,000 employees",15-19,"10,000-14,999",$100-$999,1-2 years,Never,1-2 years
175244,40-44,250-999 employees,0,$0-999,$1-$99,I have never written code,,
562,35-39,50-249 employees,9-May,"80,000-89,999","$10,000-$99,999",5-10 years,Never,3-4 years
6648,18-21,,,,,< 1 years,6-24 times,< 1 years
916,60-69,50-249 employees,20+,"125,000-149,999","$10,000-$99,999",20+ years,Never,5-10 years
1104,40-44,0-49 employees,4-Mar,$0-999,$0 (USD),1-2 years,Never,2-3 years
571,50-54,0-49 employees,4-Mar,"150,000-199,999","$10,000-$99,999",3-5 years,Never,4-5 years
971,35-39,0-49 employees,4-Mar,$0-999,"$1000-$9,999",< 1 years,2-5 times,< 1 years
583,30-34,"1000-9,999 employees",20+,"200,000-249,999",$0 (USD),5-10 years,Never,10-15 years
514,25-29,"> 10,000 employees",9-May,"5,000-7,499","$1000-$9,999",1-2 years,Never,1-2 years
29260,25-29,50-249 employees,4-Mar,"7,500-9,999",$1-$99,1-2 years,Never,1-2 years
1076,22-24,50-249 employees,4-Mar,"10,000-14,999","$1000-$9,999",3-5 years,Never,1-2 years
811,22-24,250-999 employees,20+,"4,000-4,999","$1000-$9,999",< 1 years,Never,< 1 years
404,18-21,,,,,< 1 years,Once,1-2 years
1123,22-24,,,,,1-2 years,Never,1-2 years
231,25-29,0-49 employees,2-Jan,$0-999,$0 (USD),I have never written code,,
415,25-29,0-49 employees,2-Jan,"40,000-49,999",$100-$999,< 1 years,Never,< 1 years
542,40-44,250-999 employees,20+,"80,000-89,999","> $100,000 ($USD)",3-5 years,Never,4-5 years
1255,35-39,0-49 employees,14-Oct,"3,000-3,999","$1000-$9,999",< 1 years,2-5 times,< 1 years
812,40-44,"> 10,000 employees",20+,"200,000-249,999","> $100,000 ($USD)",20+ years,Once,20+ years
769,30-34,0-49 employees,4-Mar,"70,000-79,999","$1000-$9,999",3-5 years,Never,4-5 years
805,30-34,250-999 employees,2-Jan,"40,000-49,999",$1-$99,3-5 years,Once,2-3 years
827,30-34,50-249 employees,14-Oct,"100,000-124,999","$10,000-$99,999",5-10 years,Never,3-4 years
154003,22-24,,,,,< 1 years,Never,1-2 years
1257,25-29,250-999 employees,0,"10,000-14,999",$0 (USD),< 1 years,Never,< 1 years
941,18-21,0-49 employees,0,"10,000-14,999",$100-$999,1-2 years,2-5 times,1-2 years
389,40-44,"1000-9,999 employees",20+,"80,000-89,999",$100-$999,10-20 years,Never,5-10 years
242,22-24,,,,,I have never written code,,
1728,45-49,"1000-9,999 employees",14-Oct,"150,000-199,999","$1000-$9,999",20+ years,Never,5-10 years
592,35-39,,,,,5-10 years,Never,< 1 years
585,30-34,"1000-9,999 employees",2-Jan,"50,000-59,999",$1-$99,1-2 years,2-5 times,2-3 years
934,30-34,"> 10,000 employees",14-Oct,"60,000-69,999","$1000-$9,999",10-20 years,Never,4-5 years
639,35-39,"> 10,000 employees",20+,"250,000-299,999",$0 (USD),5-10 years,Never,5-10 years
3799,50-54,50-249 employees,4-Mar,"150,000-199,999","$10,000-$99,999",10-20 years,Never,1-2 years
541,25-29,"> 10,000 employees",0,"60,000-69,999","$1000-$9,999",3-5 years,Never,3-4 years
488,30-34,250-999 employees,0,"90,000-99,999",$1-$99,3-5 years,Never,1-2 years
570,22-24,50-249 employees,20+,"70,000-79,999",$100-$999,1-2 years,2-5 times,2-3 years
451,22-24,50-249 employees,14-Oct,"10,000-14,999",$0 (USD),< 1 years,Never,< 1 years
223806,45-49,0-49 employees,0,"60,000-69,999",$0 (USD),1-2 years,Never,< 1 years
5596,55-59,"1000-9,999 employees",0,"70,000-79,999",$0 (USD),< 1 years,Never,< 1 years
497,18-21,,,,,1-2 years,Never,< 1 years
1019,22-24,0-49 employees,2-Jan,$0-999,$100-$999,< 1 years,Once,< 1 years
504,35-39,"> 10,000 employees",20+,"90,000-99,999","$1000-$9,999",10-20 years,Never,2-3 years
903,50-54,"1000-9,999 employees",9-May,"70,000-79,999","$1000-$9,999",< 1 years,Never,< 1 years
1261,30-34,"1000-9,999 employees",20+,"4,000-4,999",$100-$999,< 1 years,2-5 times,< 1 years
698,45-49,"1000-9,999 employees",20+,"25,000-29,999","$1000-$9,999",5-10 years,Never,5-10 years
829,30-34,250-999 employees,9-May,"150,000-199,999",$0 (USD),5-10 years,Never,5-10 years
487,30-34,"> 10,000 employees",15-19,"90,000-99,999","$10,000-$99,999",5-10 years,Never,3-4 years
440,30-34,250-999 employees,2-Jan,"90,000-99,999",$0 (USD),3-5 years,Once,3-4 years
554,18-21,50-249 employees,0,"3,000-3,999",$1-$99,1-2 years,Never,1-2 years
1047,25-29,"> 10,000 employees",9-May,"4,000-4,999","$10,000-$99,999",< 1 years,Never,< 1 years
393,30-34,"1000-9,999 employees",20+,"150,000-199,999","$10,000-$99,999",10-20 years,Never,4-5 years
348,25-29,,,,,3-5 years,2-5 times,2-3 years
176562,22-24,,,,,< 1 years,Never,1-2 years
434,18-21,,,,,1-2 years,Never,1-2 years
518,60-69,"1000-9,999 employees",20+,"300,000-500,000","> $100,000 ($USD)",20+ years,Never,5-10 years
543,25-29,"1000-9,999 employees",14-Oct,"40,000-49,999","$1000-$9,999",3-5 years,Never,3-4 years
2809,25-29,"> 10,000 employees",2-Jan,"3,000-3,999",$0 (USD),3-5 years,Never,< 1 years
570,40-44,"> 10,000 employees",20+,"10,000-14,999",$100-$999,3-5 years,Never,1-2 years
410,22-24,0-49 employees,2-Jan,"125,000-149,999","$1000-$9,999",1-2 years,Never,< 1 years
313,18-21,,,,,3-5 years,Never,< 1 years
1321,35-39,"1000-9,999 employees",20+,"125,000-149,999","> $100,000 ($USD)",20+ years,Never,5-10 years
683,35-39,"> 10,000 employees",14-Oct,"30,000-39,999",$100-$999,5-10 years,Never,< 1 years
1017,30-34,50-249 employees,4-Mar,"1,000-1,999",$0 (USD),< 1 years,Never,< 1 years
337,25-29,0-49 employees,9-May,"40,000-49,999",$100-$999,3-5 years,Never,< 1 years
718,30-34,0-49 employees,0,"60,000-69,999",$0 (USD),< 1 years,Never,< 1 years
879,60-69,250-999 employees,14-Oct,"1,000-1,999",$0 (USD),5-10 years,Never,< 1 years
503,40-44,,,,,< 1 years,Never,< 1 years
560,25-29,"1000-9,999 employees",20+,"60,000-69,999",$1-$99,5-10 years,Never,5-10 years
656,22-24,0-49 employees,2-Jan,"15,000-19,999",$1-$99,1-2 years,Once,1-2 years
899,22-24,,,,,3-5 years,Once,2-3 years
2304,30-34,,,,,5-10 years,Never,2-3 years
630,25-29,"> 10,000 employees",20+,"40,000-49,999",$0 (USD),3-5 years,Never,3-4 years
727,55-59,0-49 employees,14-Oct,"40,000-49,999","$1000-$9,999",3-5 years,Once,< 1 years
918,30-34,"1000-9,999 employees",20+,"90,000-99,999",$100-$999,5-10 years,Never,3-4 years
1161,22-24,50-249 employees,2-Jan,"10,000-14,999",$0 (USD),1-2 years,Never,1-2 years
411,30-34,"> 10,000 employees",20+,"20,000-24,999",$1-$99,1-2 years,Never,1-2 years
424,45-49,"1000-9,999 employees",9-May,"200,000-249,999",$0 (USD),5-10 years,Never,1-2 years
488,30-34,250-999 employees,9-May,"50,000-59,999","> $100,000 ($USD)",5-10 years,Never,5-10 years
782,25-29,,,,,< 1 years,Never,< 1 years
339,22-24,,,,,I have never written code,,
2119,40-44,"1000-9,999 employees",2-Jan,"2,000-2,999",$1-$99,5-10 years,Never,4-5 years
412,45-49,250-999 employees,4-Mar,"200,000-249,999",$100-$999,5-10 years,Never,5-10 years
540,25-29,0-49 employees,2-Jan,"30,000-39,999","> $100,000 ($USD)",1-2 years,Once,1-2 years
1136,30-34,"> 10,000 employees",20+,"20,000-24,999",$100-$999,3-5 years,Never,2-3 years
504,30-34,"> 10,000 employees",4-Mar,"15,000-19,999",$0 (USD),1-2 years,Never,1-2 years
270,30-34,50-249 employees,2-Jan,"80,000-89,999",$0 (USD),I have never written code,,
239804,22-24,"1000-9,999 employees",0,"70,000-79,999",$0 (USD),1-2 years,Never,1-2 years
868,35-39,"> 10,000 employees",0,"80,000-89,999",$0 (USD),< 1 years,Never,< 1 years
517,35-39,"1000-9,999 employees",0,"2,000-2,999",$0 (USD),< 1 years,Never,< 1 years
256016,35-39,50-249 employees,20+,"70,000-79,999","$1000-$9,999",10-20 years,Never,10-15 years
4986,30-34,0-49 employees,14-Oct,"4,000-4,999",$100-$999,3-5 years,Never,< 1 years
4124,18-21,,,,,< 1 years,> 25 times,< 1 years
4140,25-29,"> 10,000 employees",20+,"100,000-124,999","> $100,000 ($USD)",3-5 years,2-5 times,4-5 years
530,18-21,50-249 employees,14-Oct,"30,000-39,999","$1000-$9,999",5-10 years,2-5 times,4-5 years
1449,35-39,"1000-9,999 employees",20+,"80,000-89,999","$10,000-$99,999",10-20 years,Never,10-15 years
517,30-34,"> 10,000 employees",20+,"15,000-19,999",$0 (USD),3-5 years,Never,4-5 years
752,25-29,,,,,< 1 years,Never,< 1 years
2925,22-24,"1000-9,999 employees",4-Mar,"30,000-39,999",$100-$999,3-5 years,Never,2-3 years
887,60-69,0-49 employees,2-Jan,"100,000-124,999","$1000-$9,999",< 1 years,Never,< 1 years
689,35-39,250-999 employees,2-Jan,"1,000-1,999",$0 (USD),1-2 years,Never,1-2 years
507,25-29,"> 10,000 employees",4-Mar,"5,000-7,499",$1-$99,1-2 years,Never,2-3 years
245429,40-44,250-999 employees,2-Jan,"50,000-59,999",$1-$99,1-2 years,Never,1-2 years
965,40-44,"1000-9,999 employees",20+,"150,000-199,999","> $100,000 ($USD)",20+ years,Never,5-10 years
2800,25-29,"> 10,000 employees",15-19,"4,000-4,999",$1-$99,5-10 years,Never,4-5 years
399,60-69,0-49 employees,2-Jan,"100,000-124,999","$1000-$9,999",1-2 years,Never,2-3 years
85947,22-24,250-999 employees,4-Mar,"5,000-7,499",$100-$999,< 1 years,Never,< 1 years
564,30-34,"1000-9,999 employees",20+,"90,000-99,999",$0 (USD),10-20 years,Never,5-10 years
401,35-39,"> 10,000 employees",2-Jan,"100,000-124,999",$0 (USD),3-5 years,Never,2-3 years
2347,25-29,250-999 employees,20+,"5,000-7,499",$0 (USD),5-10 years,Never,< 1 years
194,30-34,,,,,10-20 years,Never,< 1 years
196,35-39,"> 10,000 employees",20+,"25,000-29,999",$0 (USD),I have never written code,,
1225,25-29,"1000-9,999 employees",4-Mar,"50,000-59,999","$1000-$9,999",1-2 years,2-5 times,2-3 years
414,30-34,"> 10,000 employees",20+,"90,000-99,999",$0 (USD),10-20 years,Never,5-10 years
551,30-34,"1000-9,999 employees",0,"10,000-14,999",$1-$99,5-10 years,Never,< 1 years
527,50-54,"> 10,000 employees",20+,"60,000-69,999",$100-$999,< 1 years,Never,< 1 years
821,40-44,"> 10,000 employees",20+,"40,000-49,999",$0 (USD),5-10 years,Never,1-2 years
571,30-34,"> 10,000 employees",14-Oct,"50,000-59,999",$0 (USD),5-10 years,Never,5-10 years
1018,30-34,50-249 employees,4-Mar,"100,000-124,999","$10,000-$99,999",10-20 years,Never,< 1 years
341,18-21,,,,,1-2 years,Once,< 1 years
698,25-29,"> 10,000 employees",20+,"15,000-19,999","$10,000-$99,999",3-5 years,Never,4-5 years
1248,25-29,0-49 employees,2-Jan,$0-999,$100-$999,< 1 years,Never,< 1 years
259,18-21,,,,,I have never written code,,
182349,30-34,0-49 employees,2-Jan,"1,000-1,999",$1-$99,< 1 years,Never,1-2 years
255886,30-34,50-249 employees,4-Mar,"125,000-149,999","$10,000-$99,999",10-20 years,Never,10-15 years
439,25-29,"> 10,000 employees",15-19,"150,000-199,999","$1000-$9,999",5-10 years,Never,3-4 years
246573,40-44,"> 10,000 employees",20+,"40,000-49,999",$100-$999,3-5 years,Once,4-5 years
1855,35-39,"1000-9,999 employees",4-Mar,"40,000-49,999",$0 (USD),10-20 years,Never,3-4 years
211368,40-44,50-249 employees,9-May,"2,000-2,999",$0 (USD),1-2 years,Never,1-2 years
564,60-69,0-49 employees,2-Jan,"100,000-124,999","$10,000-$99,999",1-2 years,Never,2-3 years
486,22-24,0-49 employees,2-Jan,$0-999,$100-$999,I have never written code,,
1101,35-39,"> 10,000 employees",20+,"3,000-3,999","> $100,000 ($USD)",5-10 years,Never,3-4 years
358,30-34,,,,,1-2 years,Never,1-2 years
483,60-69,250-999 employees,0,"100,000-124,999",$0 (USD),< 1 years,Never,< 1 years
3911,30-34,,,,,3-5 years,Never,4-5 years
309,18-21,,,,,1-2 years,Never,1-2 years
3203,60-69,"> 10,000 employees",4-Mar,"80,000-89,999",$0 (USD),20+ years,Never,4-5 years
370,30-34,0-49 employees,2-Jan,"100,000-124,999","$1000-$9,999",< 1 years,Never,< 1 years
227,22-24,,,,,3-5 years,Never,1-2 years
8900,30-34,"> 10,000 employees",20+,"60,000-69,999","$1000-$9,999",3-5 years,Never,3-4 years
620,55-59,"> 10,000 employees",4-Mar,"100,000-124,999",$100-$999,10-20 years,Never,1-2 years
10062,30-34,250-999 employees,2-Jan,"40,000-49,999",$100-$999,3-5 years,Once,2-3 years
436,35-39,"> 10,000 employees",20+,"80,000-89,999",$0 (USD),10-20 years,Never,1-2 years
1374,18-21,250-999 employees,9-May,$0-999,$100-$999,1-2 years,Once,2-3 years
434,30-34,0-49 employees,2-Jan,"100,000-124,999","$1000-$9,999",< 1 years,Never,< 1 years
495,22-24,0-49 employees,2-Jan,$0-999,$1-$99,3-5 years,Never,1-2 years
605,22-24,50-249 employees,9-May,"2,000-2,999",$0 (USD),1-2 years,Once,1-2 years
1298,40-44,"> 10,000 employees",20+,"90,000-99,999","$10,000-$99,999",5-10 years,Never,10-15 years
82470,40-44,,,,,3-5 years,Never,2-3 years
174363,22-24,0-49 employees,9-May,"30,000-39,999",$0 (USD),3-5 years,Never,< 1 years
290,35-39,"> 10,000 employees",20+,"150,000-199,999",$0 (USD),< 1 years,Once,< 1 years
204,25-29,"1000-9,999 employees",15-19,"125,000-149,999","$1000-$9,999",I have never written code,,
748,30-34,0-49 employees,2-Jan,"30,000-39,999",$0 (USD),5-10 years,Never,4-5 years
478,35-39,"> 10,000 employees",20+,"90,000-99,999","$10,000-$99,999",20+ years,Never,20+ years
481,35-39,"> 10,000 employees",20+,"80,000-89,999","$10,000-$99,999",10-20 years,Never,20+ years
579,25-29,,,,,1-2 years,Never,2-3 years
611,30-34,50-249 employees,14-Oct,"150,000-199,999","> $100,000 ($USD)",5-10 years,2-5 times,5-10 years
1152,25-29,"1000-9,999 employees",20+,"30,000-39,999","> $100,000 ($USD)",5-10 years,Once,4-5 years
529,35-39,0-49 employees,9-May,"300,000-500,000","> $100,000 ($USD)",10-20 years,Never,10-15 years
692,30-34,250-999 employees,14-Oct,"60,000-69,999","$1000-$9,999",5-10 years,Never,< 1 years
510,22-24,,,,,< 1 years,Never,< 1 years
782,25-29,0-49 employees,2-Jan,"80,000-89,999","$1000-$9,999",5-10 years,Never,3-4 years
194,25-29,,,,,10-20 years,Never,10-15 years
275,18-21,,,,,3-5 years,Once,2-3 years
787,40-44,"1000-9,999 employees",20+,"10,000-14,999","> $100,000 ($USD)",3-5 years,Once,2-3 years
680,40-44,"> 10,000 employees",20+,"200,000-249,999","$10,000-$99,999",10-20 years,Never,5-10 years
336,60-69,250-999 employees,0,"3,000-3,999",$0 (USD),I have never written code,,
474,22-24,"1000-9,999 employees",20+,"15,000-19,999",$1-$99,1-2 years,Never,1-2 years
307,22-24,250-999 employees,4-Mar,"100,000-124,999",$0 (USD),3-5 years,Never,2-3 years
1770,30-34,"> 10,000 employees",4-Mar,"150,000-199,999","$1000-$9,999",5-10 years,Never,4-5 years
516,25-29,50-249 employees,9-May,"25,000-29,999",$0 (USD),3-5 years,Never,4-5 years
398,22-24,,,,,1-2 years,Once,1-2 years
771,60-69,"> 10,000 employees",4-Mar,"90,000-99,999",$0 (USD),20+ years,Never,20+ years
363,25-29,250-999 employees,0,"3,000-3,999",$0 (USD),I have never written code,,
201493,25-29,0-49 employees,2-Jan,"80,000-89,999","$1000-$9,999",5-10 years,Never,< 1 years
562,30-34,50-249 employees,2-Jan,"90,000-99,999",$0 (USD),5-10 years,Never,3-4 years
18391,18-21,,,,,< 1 years,Never,< 1 years
312,25-29,"> 10,000 employees",20+,"70,000-79,999",$0 (USD),3-5 years,Never,< 1 years
620,30-34,50-249 employees,9-May,"60,000-69,999",$1-$99,3-5 years,Never,2-3 years
962,30-34,"1000-9,999 employees",20+,"10,000-14,999",$1-$99,3-5 years,Never,1-2 years
316,18-21,,,,,< 1 years,Never,< 1 years
624,22-24,0-49 employees,4-Mar,"7,500-9,999","$1000-$9,999",1-2 years,2-5 times,1-2 years
482,22-24,,,,,I have never written code,,
421,55-59,"> 10,000 employees",20+,"150,000-199,999",$0 (USD),20+ years,Never,20+ years
2847,55-59,"1000-9,999 employees",2-Jan,"50,000-59,999",$100-$999,I have never written code,,
924,35-39,0-49 employees,4-Mar,$0-999,"$1000-$9,999",1-2 years,6-24 times,2-3 years
254,18-21,,,,,< 1 years,Never,< 1 years
496,35-39,,,,,< 1 years,Never,< 1 years
196,18-21,,,,,I have never written code,,
418,35-39,"1000-9,999 employees",20+,"> $500,000","$10,000-$99,999",3-5 years,Never,2-3 years
918,25-29,0-49 employees,4-Mar,"5,000-7,499","$1000-$9,999",1-2 years,Once,1-2 years
268,50-54,50-249 employees,9-May,"10,000-14,999",$0 (USD),I have never written code,,
690,25-29,"> 10,000 employees",4-Mar,"10,000-14,999",$0 (USD),3-5 years,Never,2-3 years
669,25-29,50-249 employees,4-Mar,"125,000-149,999","$10,000-$99,999",3-5 years,Never,4-5 years
516,18-21,,,,,< 1 years,Once,< 1 years
665,30-34,0-49 employees,0,"20,000-24,999",$0 (USD),I have never written code,,
833,22-24,0-49 employees,2-Jan,"5,000-7,499","$1000-$9,999",3-5 years,Never,1-2 years
1245,60-69,250-999 employees,2-Jan,$0-999,$100-$999,1-2 years,Never,1-2 years
493,18-21,,,,,1-2 years,Never,1-2 years
476,30-34,"1000-9,999 employees",9-May,"125,000-149,999","> $100,000 ($USD)",3-5 years,Never,5-10 years
796,50-54,50-249 employees,4-Mar,"100,000-124,999","$10,000-$99,999",5-10 years,2-5 times,1-2 years
481,50-54,250-999 employees,2-Jan,"60,000-69,999",$0 (USD),10-20 years,Never,20+ years
519,18-21,,,,,1-2 years,Never,< 1 years
1214,22-24,,,,,< 1 years,Never,< 1 years
1861,50-54,"> 10,000 employees",20+,$0-999,$100-$999,< 1 years,Never,1-2 years
696,40-44,"1000-9,999 employees",20+,"15,000-19,999",$100-$999,1-2 years,Never,1-2 years
286,22-24,,,,,1-2 years,Never,1-2 years
551,30-34,0-49 employees,4-Mar,"50,000-59,999",$0 (USD),5-10 years,Never,4-5 years
826,40-44,"1000-9,999 employees",0,"20,000-24,999",$0 (USD),5-10 years,Never,5-10 years
637,22-24,"> 10,000 employees",20+,"5,000-7,499",$0 (USD),< 1 years,Never,1-2 years
1060,25-29,"1000-9,999 employees",20+,"30,000-39,999",$1-$99,3-5 years,Never,1-2 years
580,35-39,0-49 employees,2-Jan,"60,000-69,999","$1000-$9,999",3-5 years,Never,3-4 years
1990,30-34,0-49 employees,2-Jan,"30,000-39,999","$10,000-$99,999",10-20 years,> 25 times,10-15 years
504,30-34,0-49 employees,2-Jan,"50,000-59,999","$1000-$9,999",5-10 years,Never,4-5 years
292,18-21,0-49 employees,0,"70,000-79,999",$0 (USD),3-5 years,Never,< 1 years
617,30-34,50-249 employees,14-Oct,"2,000-2,999",$100-$999,5-10 years,Once,< 1 years
852,30-34,"> 10,000 employees",9-May,"25,000-29,999",$1-$99,5-10 years,Never,1-2 years
249,18-21,,,,,< 1 years,Never,< 1 years
433,60-69,"1000-9,999 employees",20+,"60,000-69,999",$0 (USD),3-5 years,Never,3-4 years
377,25-29,50-249 employees,9-May,"50,000-59,999","$1000-$9,999",3-5 years,Never,1-2 years
618,30-34,"1000-9,999 employees",20+,"80,000-89,999",$100-$999,10-20 years,Never,5-10 years
675,25-29,50-249 employees,4-Mar,"30,000-39,999","$1000-$9,999",5-10 years,Never,3-4 years
1262,18-21,,,,,< 1 years,Never,< 1 years
1624,25-29,250-999 employees,20+,"10,000-14,999",$0 (USD),3-5 years,Never,4-5 years
655,30-34,,,,,5-10 years,Never,2-3 years
597,18-21,0-49 employees,0,"3,000-3,999",$1-$99,1-2 years,Never,1-2 years
534,30-34,"1000-9,999 employees",20+,"50,000-59,999",$0 (USD),5-10 years,Never,4-5 years
2344,30-34,"> 10,000 employees",20+,"70,000-79,999",$0 (USD),5-10 years,Once,5-10 years
600,30-34,50-249 employees,2-Jan,"60,000-69,999","$10,000-$99,999",I have never written code,,
354,22-24,,,,,< 1 years,Once,< 1 years
398,40-44,0-49 employees,0,"30,000-39,999",$0 (USD),1-2 years,Never,1-2 years
720,25-29,50-249 employees,2-Jan,"10,000-14,999","$1000-$9,999",1-2 years,Never,1-2 years
567,35-39,0-49 employees,0,"50,000-59,999",$1-$99,< 1 years,Never,2-3 years
736,30-34,0-49 employees,0,"10,000-14,999",$0 (USD),< 1 years,Never,1-2 years
414,25-29,0-49 employees,4-Mar,"125,000-149,999",$1-$99,10-20 years,Never,4-5 years
439,35-39,0-49 employees,2-Jan,"200,000-249,999","$10,000-$99,999",10-20 years,Never,1-2 years
691,35-39,50-249 employees,9-May,"150,000-199,999","> $100,000 ($USD)",5-10 years,Never,5-10 years
643,30-34,"> 10,000 employees",2-Jan,"90,000-99,999",$100-$999,5-10 years,Never,2-3 years
245399,50-54,,,,,3-5 years,Never,2-3 years
301,22-24,50-249 employees,9-May,$0-999,$0 (USD),I have never written code,,
340,40-44,"1000-9,999 employees",14-Oct,"100,000-124,999",$0 (USD),20+ years,2-5 times,10-15 years
592,18-21,,,,,< 1 years,Never,< 1 years
862,40-44,"> 10,000 employees",20+,"125,000-149,999","> $100,000 ($USD)",1-2 years,2-5 times,1-2 years
1736,35-39,"> 10,000 employees",9-May,"90,000-99,999","> $100,000 ($USD)",5-10 years,Never,5-10 years
848,25-29,"> 10,000 employees",20+,"7,500-9,999",$100-$999,1-2 years,Never,1-2 years
1904,40-44,"> 10,000 employees",20+,"40,000-49,999","$1000-$9,999",1-2 years,2-5 times,1-2 years
692,25-29,0-49 employees,2-Jan,$0-999,$0 (USD),1-2 years,Never,< 1 years
244595,18-21,"1000-9,999 employees",20+,"5,000-7,499",$0 (USD),1-2 years,Never,1-2 years
1211,25-29,0-49 employees,9-May,$0-999,"$1000-$9,999",1-2 years,Never,1-2 years
318,25-29,50-249 employees,0,"1,000-1,999",$0 (USD),I have never written code,,
452,18-21,,,,,1-2 years,Never,1-2 years
15151,22-24,0-49 employees,2-Jan,"30,000-39,999",$1-$99,< 1 years,2-5 times,< 1 years
240317,25-29,"> 10,000 employees",20+,"125,000-149,999","$1000-$9,999",5-10 years,Never,4-5 years
578,40-44,"1000-9,999 employees",4-Mar,"100,000-124,999","> $100,000 ($USD)",3-5 years,Never,4-5 years
668,40-44,"> 10,000 employees",4-Mar,"2,000-2,999","$1000-$9,999",10-20 years,Never,10-15 years
236811,22-24,"> 10,000 employees",20+,"3,000-3,999",$100-$999,1-2 years,Never,1-2 years
668,18-21,,,,,< 1 years,Never,< 1 years
536,22-24,,,,,1-2 years,Never,1-2 years
2054,25-29,"1000-9,999 employees",20+,"7,500-9,999",$0 (USD),1-2 years,Never,1-2 years
96432,30-34,"1000-9,999 employees",9-May,"70,000-79,999",$0 (USD),3-5 years,Never,2-3 years
180230,30-34,"1000-9,999 employees",20+,"125,000-149,999","> $100,000 ($USD)",3-5 years,Never,3-4 years
820,50-54,0-49 employees,4-Mar,"40,000-49,999",$100-$999,5-10 years,Never,3-4 years
623,25-29,"> 10,000 employees",14-Oct,"4,000-4,999","$10,000-$99,999",3-5 years,Never,1-2 years
328,30-34,0-49 employees,2-Jan,$0-999,$1-$99,1-2 years,Never,< 1 years
489,22-24,0-49 employees,4-Mar,$0-999,$0 (USD),< 1 years,Never,1-2 years
2352,30-34,"1000-9,999 employees",2-Jan,"20,000-24,999",$0 (USD),5-10 years,Never,5-10 years
1642,22-24,0-49 employees,2-Jan,$0-999,$1-$99,< 1 years,> 25 times,1-2 years
1120,30-34,"1000-9,999 employees",20+,"10,000-14,999",$1-$99,1-2 years,Never,1-2 years
346,30-34,50-249 employees,20+,"70,000-79,999","$10,000-$99,999",3-5 years,Never,3-4 years
302812,30-34,"1000-9,999 employees",4-Mar,"20,000-24,999",$100-$999,3-5 years,Never,2-3 years
519,50-54,250-999 employees,4-Mar,"125,000-149,999","$1000-$9,999",1-2 years,2-5 times,1-2 years
713,40-44,250-999 employees,0,"70,000-79,999",$100-$999,1-2 years,Never,1-2 years
1353,25-29,50-249 employees,9-May,"7,500-9,999","$10,000-$99,999",< 1 years,Never,< 1 years
365,22-24,,,,,3-5 years,Never,2-3 years
583,50-54,250-999 employees,0,"60,000-69,999",$100-$999,I have never written code,,
258473,35-39,0-49 employees,2-Jan,"100,000-124,999",$100-$999,5-10 years,Once,4-5 years
974,30-34,250-999 employees,2-Jan,"7,500-9,999","$1000-$9,999",< 1 years,Never,< 1 years
428,25-29,0-49 employees,2-Jan,"150,000-199,999","$10,000-$99,999",5-10 years,Never,3-4 years
606,55-59,"1000-9,999 employees",14-Oct,"250,000-299,999","$10,000-$99,999",20+ years,> 25 times,20+ years
551,35-39,250-999 employees,4-Mar,"100,000-124,999","$10,000-$99,999",10-20 years,Never,4-5 years
782,25-29,"> 10,000 employees",20+,"60,000-69,999",$0 (USD),< 1 years,Never,< 1 years
1110,45-49,,,,,< 1 years,Never,< 1 years
604,30-34,"1000-9,999 employees",2-Jan,"50,000-59,999",$0 (USD),5-10 years,Never,3-4 years
700,25-29,50-249 employees,0,"20,000-24,999",$1-$99,3-5 years,Never,1-2 years
348564,40-44,0-49 employees,20+,"10,000-14,999",$100-$999,3-5 years,2-5 times,1-2 years
1003,30-34,0-49 employees,2-Jan,$0-999,$0 (USD),< 1 years,Never,< 1 years
534,22-24,"1000-9,999 employees",20+,"5,000-7,499","$10,000-$99,999",3-5 years,Never,3-4 years
906,50-54,0-49 employees,2-Jan,"100,000-124,999","$10,000-$99,999",10-20 years,2-5 times,3-4 years
780,60-69,0-49 employees,2-Jan,"100,000-124,999",$100-$999,3-5 years,Never,3-4 years
655,55-59,,,,,< 1 years,Never,< 1 years
326,55-59,,,,,I have never written code,,
1664,25-29,,,,,< 1 years,Never,< 1 years
1523,30-34,"1000-9,999 employees",0,"15,000-19,999","$1000-$9,999",3-5 years,Never,3-4 years
669,50-54,"1000-9,999 employees",9-May,"150,000-199,999","$10,000-$99,999",3-5 years,Never,2-3 years
466,35-39,250-999 employees,0,"2,000-2,999",$100-$999,< 1 years,Never,< 1 years
197729,55-59,0-49 employees,2-Jan,"80,000-89,999",$1-$99,5-10 years,Never,1-2 years
6737,30-34,0-49 employees,20+,"1,000-1,999",$100-$999,< 1 years,Never,< 1 years
702,45-49,"> 10,000 employees",9-May,"80,000-89,999",$100-$999,3-5 years,Never,< 1 years
1732,60-69,0-49 employees,0,$0-999,$100-$999,10-20 years,Never,5-10 years
3693,55-59,250-999 employees,9-May,"25,000-29,999","$10,000-$99,999",5-10 years,Never,2-3 years
688,22-24,,,,,5-10 years,6-24 times,3-4 years
1129,25-29,,,,,1-2 years,Never,< 1 years
920,25-29,250-999 employees,14-Oct,$0-999,$100-$999,< 1 years,Once,1-2 years
